name,role,team,appearances,goals,assists,yellow_cards,red_cards,mvps,goals_con,ratio
Carlos Val,Defender,Kunisports,3,0,0,1,0,0,0,0
Pau Fernández,Midfielder,El Barrio,0,0,0,0,0,0,0,0
Iván López 'Cokita',Midfielder,PIO FC,3,3,0,0,0,1,0,0
Aaron Ropero,Midfielder,PIO FC,3,3,0,0,0,0,0,0
Marc Pelaz,Midfielder,Jijantes FC,3,0,0,0,0,0,0,0
Joan Canet,Goalkeeper,1K FC,1,0,0,0,0,0,0,0.00
Guillem 'ZZ' Ruiz,Forward,Aniquiladores FC,3,0,0,0,0,0,0,0
Mario Reyes,Defender,Aniquiladores FC,3,1,0,0,0,1,0,0
Franky Purtí,Midfielder,Rayo de Barcelona,0,0,0,0,0,0,0,0
Daniel Pérez,Midfielder,xBuyer Team,5,0,0,0,0,0,0,0
Álvaro Arché,Midfielder,El Barrio,0,0,0,0,0,0,0,0
Àlex Gutiérrez,Defender,Porcinos FC,6,5,5,0,0,2,0,0
Aleix Lage,Midfielder,Ultimate Móstoles,4,1,0,0,0,0,0,0
Llur Genesca,Forward,Rayo de Barcelona,0,0,0,0,0,0,0,0
Iker López,Defender,PIO FC,1,0,0,0,0,0,0,0
Ian González,Defender,Los Troncos FC,3,0,0,1,0,0,0,0
Lucca Ribeiro,Midfielder,Saiyans FC,1,0,0,0,0,0,0,0
Juanma González,Forward,xBuyer Team,5,2,0,1,0,0,0,0
Adrià 'Capi' Gutiérrez,Goalkeeper,xBuyer Team,5,0,0,0,0,0,20,4.00
Joan Poch,Forward,Rayo de Barcelona,0,0,0,0,0,0,0,0
Iñaki Villalba,Midfielder,Kunisports,2,0,0,0,0,0,0,0
Daniel Santiago,Defender,Rayo de Barcelona,0,0,0,0,0,0,0,0
Marc Granero,Defender,1K FC,3,6,1,0,0,2,0,0
Joel Bañuls,Defender,Ultimate Móstoles,4,0,0,0,0,0,0,0
Josep Corderas,Goalkeeper,Los Troncos FC,0,0,0,0,0,0,0,0
Carlos Torrentbó,Forward,Kunisports,3,0,0,0,0,0,0,0
Víctor Cócera,Goalkeeper,Kunisports,3,0,0,0,0,0,9,3.00
Marcos Guerrero,Defender,1K FC,3,0,0,0,0,0,0,0
Román Alegre,Defender,Rayo de Barcelona,0,0,0,0,0,0,0,0
Mark Sorroche,Forward,Los Troncos FC,4,1,0,0,0,0,0,0
Raúl Ledo,Defender,1K FC,3,0,0,0,0,0,0,0
Marc Pluvins,Midfielder,1K FC,3,1,1,0,0,0,0,0
Uri Pons,Forward,Jijantes FC,2,0,0,0,0,0,0,0
Iván Pérez,Forward,Kunisports,2,0,0,0,0,0,0,0
Carlos Omabegho,Forward,PIO FC,3,3,0,0,0,2,0,0
Dani Liñares,Midfielder,Saiyans FC,6,5,3,0,0,0,0,0
Alex García,Goalkeeper,El Barrio,0,0,0,0,0,0,0,0
David Barral,Forward,1K FC,1,0,1,1,0,0,0,0
Gerard Nolla,Midfielder,El Barrio,0,0,0,0,0,0,0,0
Dani Martí,Defender,Ultimate Móstoles,4,0,0,0,0,0,0,0
Aitor Vives,Midfielder,Los Troncos FC,4,0,1,0,0,0,0,0
Abraham González,Midfielder,Rayo de Barcelona,0,0,0,0,0,0,0,0
Jan Coca,Midfielder,PIO FC,3,0,1,0,0,0,0,0
Jandro Megía,Defender,PIO FC,3,0,0,0,0,0,0,0
Jordi Martínez,Forward,Kunisports,2,0,0,0,0,0,0,0
Xavi Liébanas,Defender,El Barrio,0,0,0,0,0,0,0,0
Vicenç Oromí,Forward,Los Troncos FC,3,1,0,0,0,0,0,0
Gabriel Vidal,Midfielder,El Barrio,0,0,0,0,0,0,0,0
Pau Llastarry,Defender,xBuyer Team,3,0,0,0,0,0,0,0
Aleix Martí,Forward,Ultimate Móstoles,4,2,1,0,0,0,0,0
Manuel Martín,Goalkeeper,Los Troncos FC,4,0,0,0,0,1,20,5.00
Alfons Serra,Midfielder,Saiyans FC,6,0,2,0,0,0,0,0
Jero Martín,Midfielder,Saiyans FC,6,3,2,0,0,0,0,0
Lasha L. Macharashvili,Forward,PIO FC,2,0,0,0,0,0,0,0
Eloy Pizarro,Defender,Ultimate Móstoles,4,1,0,1,0,0,0,0
Álex Cubedo,Defender,Los Troncos FC,1,0,0,0,0,0,0,0
José 'Casi' Ruiz,Forward,Aniquiladores FC,3,2,0,0,0,0,0,0
Nil Ayats,Midfielder,Jijantes FC,1,0,0,0,0,0,0,0
Albert Dalmau,Defender,1K FC,3,0,1,0,0,0,0,0
David Cárdenas,Defender,Porcinos FC,6,0,0,0,0,0,0,0
Eloy Amoedo,Goalkeeper,Porcinos FC,0,0,0,0,0,0,0,0
Gerard Vacas,Goalkeeper,El Barrio,0,0,0,0,0,0,0,0
John de la Cruz,Forward,1K FC,3,1,0,0,0,0,0,0
Albert Ruiz,Forward,1K FC,2,0,0,1,0,0,0,0
David Sánchez,Forward,Jijantes FC,1,0,0,0,0,0,0,0
Alex Romero,Goalkeeper,xBuyer Team,2,0,0,1,0,0,1,0.50
Oscar Coll,Midfielder,Porcinos FC,6,2,3,0,0,0,0,0
Sergi Gestí,Forward,Saiyans FC,6,2,0,1,0,0,0,0
Nicolás Santos,Forward,Porcinos FC,6,1,3,1,0,0,0,0
Iker González,Midfielder,El Barrio,0,0,0,0,0,0,0,0
Isaac Maldonado,Midfielder,Rayo de Barcelona,0,0,0,0,0,0,0,0
Pablo Fernández,Midfielder,Saiyans FC,6,4,0,0,0,0,0,0
Adrián Espinar,Forward,Jijantes FC,2,2,0,1,0,0,0,0
Pol Román,Defender,Rayo de Barcelona,0,0,0,0,0,0,0,0
Adrià Escribano,Midfielder,Kunisports,3,0,0,0,0,0,0,0
Alberto Arnalot,Goalkeeper,1K FC,3,0,0,1,0,0,13,4.33
Carlos Contreras,Forward,Jijantes FC,3,0,0,0,0,0,0,0
Víctor Vidal,Goalkeeper,Ultimate Móstoles,4,0,0,0,0,2,12,3.00
Sergi Cabré,Midfielder,Jijantes FC,3,0,0,0,0,0,0,0
Marc Valiente,Defender,El Barrio,0,0,0,0,0,0,0,0
Carlos Ferres,Midfielder,Los Troncos FC,4,1,1,0,0,0,0,0
Adrián Monroy,Midfielder,Galácticos del Caribe,0,0,0,0,0,0,0,0
Marlon  Martínez,Midfielder,Galácticos del Caribe,0,0,0,0,0,0,0,0
Luis Nava,Goalkeeper,Los Chamos FC,0,0,0,0,0,0,0,0
Diego Arriaga,Goalkeeper,Los Chamos FC,0,0,0,0,0,0,0,0
Alejandro Díaz,Midfielder,Persas FC,3,0,1,1,0,0,0,0
Jairo Tapie,Midfielder,Los Chamos FC,0,0,0,0,0,0,0,0
Bernardo Lugo,Goalkeeper,Raniza FC,1,0,0,0,0,0,1,1.00
Patricio Arias,Defender,Atlético Parceros FC,0,0,0,0,0,0,0,0
Alejandro Vázquez,Forward,Peluche Caligari,0,0,0,0,0,0,0,0
Edwin Cárdenas,Midfielder,Muchachos FC,4,1,0,0,0,0,0,0
Paul Cruz,Goalkeeper,Real Titán FC,2,0,0,0,0,0,8,4.00
Eli Saadia,Goalkeeper,Club de Cuervos,3,0,0,1,0,0,7,2.33
Moisés Dabbah,Goalkeeper,West Santos FC,2,0,0,0,0,1,7,3.50
Daniel Ríos,Midfielder,Los Aliens FC,2,0,0,0,0,0,0,0
